100452,hirek+58,0,1,148,418
104203,dziwniar,442,1,21,463
106525,norbelllo,191,2,20538,234
128346,peter3131,0,1,162,410
128503,jagnie,207,13,124592,190
131247,norweg1,0,0,0,532
150301,ORANGE+BOY,984,1,4845,296
220181,Paola65,191,236,2272005,89
318984,QMOTERQQRYQ,1220,7,24873,229
357337,Kubaston,191,58,632885,160
363242,Nikolaus,1370,1,577,370
480690,mski5,0,1,3802,306
514097,Spyro1993,211,5,51544,207
522929,DlaCiebiePanBizal,168,208,2096547,98
546458,Sindbad00,553,1,405,383
583500,pchelka75,155,355,3549661,40
645670,emilkar,0,1,506,374
650137,AN2403,191,151,1501986,131
703092,CzarnyMoon,168,371,3466077,44
781503,aurtiol,325,1,811,356
822564,oskar124,247,33,320240,171
831798,pluto07,0,1,183,407
875256,iqaz,155,160,1626078,119
927277,bart1313,191,322,3083524,55
959179,mirkos44,1370,2,7886,282
981713,Jokerpn2+x+Sir+Trolu,0,1,51,443
1024690,marcin999186,155,141,1563456,124
1079223,elgordo,862,1,8540,280
1141560,obex4,0,1,8977,278
1191557,5klasa,1200,1,700,363
1198980,kamilyes,207,1,9718,271
1259731,GokuPLPL,185,62,624061,162
1300712,janwi,0,1,33,460
1304915,Hasyp,0,1,1373,333
1309140,tuptuszolwik,185,0,0,533
1320797,metbek,1023,118,1149119,147
1371998,pyari,0,1,1029,346
1459020,LopezKing01,169,1,158,413
1461576,darek0455,0,1,8923,279
1498998,ASYSTORIA,0,1,280,396
1511879,Pawwe,0,0,0,534
1536688,grunwald45,0,1,98,429
1618481,markopolo19,168,95,930952,155
1697844,daniolko,185,0,0,535
1724056,gornik93,0,1,341,392
1747876,atemi900,998,1,42,450
1794395,GrzelinZWA,191,1,10433,263
1862276,Adamiex,366,1,1912,325
1895081,Najemnik+full+light,0,2,4717,297
1987715,pono19g,185,3,34122,220
1987868,zdzichu295,0,1,21,464
2028575,Damo514,168,141,1307774,138
2038026,Pabaa,169,1,21,465
2162471,Tombar76,0,1,1167,341
2177410,plazmi,0,1,4072,303
2244154,Vonfara,170,284,2785460,67
2268889,dj.B.M.P.,341,1,1178,340
2309595,ChrystianoRonaldo,155,400,4204242,20
2345447,slawomirec,0,1,2962,312
2357077,rpebys,259,1,909,350
2362058,Sir+Lewan,0,0,0,536
2371686,macing+III,0,1,21,466
2392350,Nikt08,1330,35,242699,175
2426019,riki30.1976,0,1,475,378
2483601,MatiMK10,0,0,0,537
2502230,MarcinBRzeznik,1124,1,468,379
2516493,Afrodyta29,191,83,826324,156
2569868,LOLA1982,0,1,134,424
2571407,Legion+15,477,1,319,393
2581312,mefisto75+x+Rokush,170,337,3542667,41
2618951,hulk84,168,227,2169104,93
2719651,kriscros,159,2,17586,245
2730335,niki63,185,11,86789,196
2764337,Stefal-S22,0,1,42,451
2788981,damian1088,0,0,0,538
2803439,czarnuch938,185,1,9637,273
2837080,LadyVv,0,1,417,382
2842022,Doktor+House,170,377,3988850,26
2889509,skrzat17,168,258,3020576,56
2925555,GreatKhaliS,996,1,21,467
2994523,%C5%9Amieszek,207,126,1315410,137
3097546,Wretched+Egg+x+Redcclise,168,392,3611763,37
3139819,ponicki,0,3,29694,225
3157022,momomisiek,186,1,6427,283
3176816,Kami+x+Ojoj,169,1,39,455
3201528,alb3rc1k.wrona,159,4,25321,228
3352124,Spirx+i+VonDee,0,0,0,539
3400823,BulaLdz+i+Rudej,185,130,1205809,144
3440896,Ari93,185,1,609,369
3476708,luk77asz,1364,1,6194,287
3478783,vidmoo,160,43,11794,254
3488204,Take+M3+Easy+x+Mebos,168,119,1194580,145
3506497,Jaro815,1200,15,73555,201
3512280,Mato%C5%82ek222,185,49,486215,167
3518623,Deyna10,0,0,0,540
3541308,Zimson.,155,342,3419316,46
3582856,pilka6969,0,1,55,439
3719954,Lord+Ob,0,1,102,427
3730937,asiv+x+MRCOREN,207,93,937412,154
3973432,piotrus507,995,1,4306,301
3983220,SierGiej95,170,209,2219151,90
5978020,PlanBee,207,9,82829,198
5989306,HENRYK321,0,1,504,375
6071567,Petro180,53,1,1650,328
6077576,AsumaSensei,170,217,2138180,94
6083448,rafalzak,0,1,850,353
6111938,krzysztof+wspania%C5%82y,0,1,147,419
6114771,%C5%81ukasz+98,155,404,3852192,28
6121024,topolskia,863,0,0,541
6127167,morys1992,1345,1,796,357
6145316,zabario1,1345,0,0,542
6151359,Rycerz+%C5%81yx,155,170,1704070,113
6155685,ch%C5%82opaczyna,170,385,4207979,19
6172559,XxNo-NamexX,155,144,1462699,132
6174010,MARCINEK+GRO%C5%BBNY,1156,1,345,391
6207550,Zwiedzam+Farme,191,16,156106,184
6249486,REXMUNDI,0,1,2152,323
6254470,transporter139,0,1,95,432
6263482,%C5%82ysy1111,0,0,0,543
6276208,biesta,0,1,1424,330
6296228,oleska2002,0,1,4456,300
6300771,PetC,0,1,378,386
6301789,Ewelinaq,0,1,96,430
6342900,easy26,185,56,563417,164
6390517,Compi,0,1,21,468
6398617,krvl+jake,998,1,2650,316
6569289,rokir99,0,1,21,469
6581261,Kocham+Lolitki,0,1,21,470
6583598,burza123456,155,408,4214842,18
6633994,Grenpi,0,1,252,400
6705168,zielas021,984,1,680,364
6795280,SUPER+KR%C3%93L+PAWE%C5%81,0,0,0,544
6800442,ostryZG,0,0,0,545
6957922,piter0101,185,1,10174,265
6994064,LucKurek,170,442,4304207,14
7031136,SzoaxD,207,1,11974,253
7064954,shaggy909,935,1,1094,344
7079252,metin2jestcool,0,1,21,471
7094779,VAdiV,155,188,1917940,107
7094962,mixuj,0,1,52,441
7167528,witus19,170,207,2107541,97
7251677,Pan+Owca,207,22,213713,179
7259218,kraczy%C5%84ski,0,1,161,412
7294341,Jokisz+x+Juza,170,173,1647775,116
7338986,dadzio5,168,264,2672436,75
7390344,Muras+x+0nxss,170,180,1771337,111
7401079,Byskit,168,159,1649770,115
7425443,xvanc,207,2,19058,242
7439424,Pawe%C5%82+Katalo%C5%84czyk,0,1,21,472
7487445,zejaz,168,369,3528429,42
7497650,BKS-FIK,211,1,3778,307
7540551,FarmerDobijacz,170,216,2273420,88
7548037,Chocoboms7,168,266,2797797,66
7560085,cyaaaa2,170,284,3163255,53
7604807,Snuffy83,168,110,955941,153
7606035,JoteSKa,1273,0,0,546
7613103,Adchar1,0,4,37996,218
7667698,Rozpend,169,1,96,431
7707358,tomikom,1324,1,39,456
7719818,pandaseka,168,579,5506014,7
7720655,KRAJAN00,168,282,2748491,69
7751991,totylkogra..,168,326,2997198,58
7809199,destroyer1984,0,0,0,547
7823846,FantAstycznY+Front0wieC,0,0,0,548
7931539,jackowskimarek,0,1,1121,343
7995033,adahin,0,0,0,549
8021735,pat-mat-51,0,1,46,447
8044757,arek620011,170,556,5815048,6
8049958,dragonflay,0,0,0,550
8075814,SpeedBoy95,1352,1,21,473
8086835,Harry+Potter,160,0,0,551
8120259,flypside,155,329,3190423,51
8149456,Rammus69,0,2,9556,274
8153730,the-blue,245,1,21,474
8168453,PobawimySi%C4%99B%C4%99dzieFajnie,0,1,36,459
8253729,Aragrip,170,156,1554109,125
8254493,-Edka-,191,10,102648,193
8269044,Devildomi,247,5,48898,208
8276067,Stukni%C4%99ty,89,1,21,475
8300149,Gucio88,0,0,0,552
8330237,Sylwan23,168,283,2981743,60
8336889,Choinka+x+Shiro+x+Kage,0,1,21,476
8359267,Love+Hurts,0,1,68,435
8408007,admirer2,0,1,365,388
8410691,KnifeHunter,170,162,1583776,123
8469774,Ohtar1,1023,1,21,477
8479001,Paralyse,197,1,41,452
8490885,tu-gina-ludzie,1200,7,47035,211
8503549,iwan.23.2,155,401,4046827,25
8532096,Goolman1979,168,168,1639211,117
8553904,Byziaczek,169,1,1000,348
8560326,Owocowa+i+Lambadan.,155,389,3785832,30
8588789,lolobolos,0,1,6211,286
8592480,Ksoks,155,291,2827870,65
8603651,GREGOR.PITER.DIODA,0,1,11585,257
8624649,MajorKondor,0,1,21,478
8626900,MaksymKrywonos,160,1,21,479
8665716,Boss+Ki+x+Tygrys,155,427,4466933,11
8666542,Repetitio,207,1,314,394
8683716,Dyli%C5%BCans01,155,227,2373774,82
8687748,Pietrek+z+Sosnowca,185,1,9711,272
8708728,vodka442,321,1,138,423
8709633,Wiedzmolol10,170,168,1609763,121
8726478,serz33,0,1,21,480
8740963,PsychoKiss%2AAquarion,155,359,3682250,32
8766426,Liberta,0,1,2540,318
8774482,DW%C3%93CH+POT%C4%98%C5%BBNYCH+GRACZY,168,194,1942030,105
8792459,7up71,1084,1,27,462
8793295,Lord+Alistiarus,168,134,1542969,127
8805160,Joaquin79,1388,1,820,355
8819990,bitefight1998,0,1,1360,334
8845753,Ania+Emil+Czarek+Rafa%C5%82,1363,1,21,481
8884931,chudy643,170,273,2611846,78
8887472,jasior78,0,1,533,372
8894803,Proxima,0,0,0,553
8908553,kamileq950,1330,5,33366,222
8923189,Yoshi+From+Hell,245,1,43,449
8929825,lerty,185,3,33728,221
8939384,Matej+%3D+KO,185,4,39066,214
8947052,karolaskarol,862,1,10054,268
8982338,xRico,0,1,21,482
8985896,Krzysiek+41,1370,1,386,387
8993689,Zambezia,155,395,4256236,16
8997874,Sir+lechman,211,1,463,380
9012903,Kurczak998,935,1,21,483
9019627,Czesc.Kochanie,0,1,21,484
9023117,DucuS+x+azerciK,170,589,6729333,2
9035698,MLowe+x+PolskiPolakPL,168,368,3634019,35
9037430,Mets96,170,289,2869611,61
9070335,power+is+my,170,276,2638557,77
9086671,Armixs,207,16,154041,185
9090004,WhiteEagleLord,998,1,1288,336
9091896,szeva009,862,1,41,453
9115063,Hassam+x+Allanelo,170,468,5036364,9
9138661,Lodar93,0,1,21,485
9163947,Tissan,168,262,2593312,79
9166290,HeadBanger,159,2,19637,240
9191312,Lord+Czocher,168,212,2202401,92
9212383,Kogzy,191,237,2345461,83
9228547,smigel,0,2,11669,255
9259107,Siurens+x+Ojciec,191,0,0,554
9276297,k4mi1,0,1,632,367
9283142,Zi3lonoMi,169,1,356,389
9283775,nani91,620,1,350,390
9283824,9010,984,1,1123,342
9284351,Sir+Lincoln,0,1,3648,309
9286463,Lord+Saladyn,1003,1,12104,251
9295543,slade+von+seth,168,377,3752116,31
9299201,Akrox,1177,1,718,360
9304911,.FILAN.,168,140,1407975,135
9320303,Gerpy,0,1,9785,270
9324843,Zicu,0,2,19808,238
698146383,kibi27,0,14,93040,195
698151302,tomaszek74,101,1,1189,339
698159326,I%2ASUCHY%2AI-X-I%2APROTOM%2AI,169,1,89,433
698163648,GreatGatsby,159,1,5960,289
698190039,mirmyn,0,1,147,420
698194709,Shadow+Tails,170,330,3491030,43
698210598,Czarnobylec,758,1,403,384
698213366,maksik16,0,4,11650,256
698227164,xXxMATIxXx91,984,1,1730,327
698229033,Dziora1987,170,288,2864418,64
698231415,Gruzol,1369,0,0,555
698238602,filip8349,160,2,2313,320
698272743,Ratesh,170,329,3349073,47
698274017,Sir+HauR,170,428,4237967,17
698297254,Airaw,998,3,11001,258
698303567,TheNewStar,155,434,4479323,10
698322024,gronkan,0,1,111,426
698337417,na%C5%82og,864,0,0,556
698356246,suzek21,0,1,21,486
698366007,TheSzumix,155,204,2051409,101
698386297,Kleomenes+I,168,212,2133770,96
698388041,Kubu%C5%9B+Pogromca,168,176,1783743,110
698397674,bedril01,155,212,1962715,104
698400151,GoD+oF+PaiN,170,352,3613617,36
698413070,Arsonists,191,70,688061,158
698415842,BlackSheep3,191,3,29530,226
698494193,Cysiekx,155,568,5859568,5
698496770,Wentyl,185,0,0,557
698591736,NothingToGain,170,269,2662861,76
698592257,MistrzPowraca,155,260,2766509,68
698596969,Profesor+R,185,18,161692,182
698602557,Tabalugatoja,155,126,1219826,143
698622461,asasincreed3,0,1,172,409
698634469,TytusValerius,0,3,21511,232
698635576,xYahiko,207,4,38389,216
698639401,siwy24103,211,0,0,558
698655576,brutal29,0,0,0,559
698670351,Damianous,185,5,54267,205
698680083,Yopek,170,403,4183389,21
698690464,Saxic,207,2,19583,241
698700447,-Vinci-,0,1,495,381
698703164,Nochybaty+x+Kaspin,168,137,1435997,134
698730917,-E%2AE%2AE%2AEDEK-,0,1,2686,313
698731833,Aromatyczny,155,276,2865460,62
698741732,Compman,159,4,38194,217
698744805,Sierpien,0,2,491,376
698790452,..AMBASADOR..,207,16,158322,183
698795457,403614,0,1,102,428
698829202,hinca1234,0,1,21,487
698841261,Psuja90+and+Poczciiwy,170,385,3948998,27
698849406,sir+robin,247,2,13937,249
